protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_host,AF+ES,xgboost,pooled,3,3,833,206,15.108585542845494,27.826941109865995,0.4136660704728774
group_host,AF+ES,xgboost,pooled,3,4,785,254,14.295212152436024,34.765120018852784,0.07129261232492634
group_host,AF+ES,xgboost,separate,2,0,499,127,45.17672224870817,67.90993241625237,0.12602610885182497
group_host,AF+ES,xgboost,separate,2,1,497,129,27.927923394728076,46.49419943686057,0.5717014788832651
group_host,AF+ES,xgboost,separate,2,2,518,108,30.343983402958624,46.0216806484271,0.6183143115975234
group_host,AF+ES,xgboost,separate,2,3,490,136,37.16314495311064,54.09087840957929,0.4913485964414034
group_host,AF+ES,xgboost,separate,2,4,500,126,29.787881760370162,51.326001814945194,0.5439234183155202
group_host,AF+ES,xgboost,separate,3,0,832,207,6.743018108865489,19.214340350985314,-0.009863183326203728
group_host,AF+ES,xgboost,separate,3,1,839,200,5.706868438720703,13.340961300186986,0.39030792894527966
group_host,AF+ES,xgboost,separate,3,2,867,172,5.077064691587936,9.908848851980713,0.7541257212449997
group_host,AF+ES,xgboost,separate,3,3,833,206,12.038504591265928,32.28695365128741,0.21065251601065316
group_host,AF+ES,xgboost,separate,3,4,785,254,11.432506891686147,33.16233830558337,0.15495132504186349
group_host,AF+T,median,pooled,2,0,499,127,76.96850393700787,99.16426362910362,-0.8635551287878804
group_host,AF+T,median,pooled,2,1,497,129,98.6124031007752,112.21383932668068,-1.4948352400241625
group_host,AF+T,median,pooled,2,2,518,108,97.9074074074074,115.55013341979893,-1.4061451898721504
group_host,AF+T,median,pooled,2,3,490,136,91.21323529411765,109.75202664616803,-1.0940993202416034
group_host,AF+T,median,pooled,2,4,500,126,110.37301587301587,126.44507559749863,-1.7680041941129905
group_host,AF+T,median,pooled,3,0,832,207,5.98792270531401,19.22184873000081,-0.010652585084277577
group_host,AF+T,median,pooled,3,1,839,200,6.86,17.34877517290486,-0.03103625343801486
group_host,AF+T,median,pooled,3,2,867,172,9.0,20.481131418602015,-0.05044805167102684
group_host,AF+T,median,pooled,3,3,833,206,16.87378640776699,38.56982068873493,-0.12644327909842157
group_host,AF+T,median,pooled,3,4,785,254,13.527559055118111,36.439411475234024,-0.020314697270829907
group_host,AF+T,median,separate,2,0,499,127,70.28346456692914,80.85010919893872,-0.2387768591102768
group_host,AF+T,median,separate,2,1,497,129,55.7906976744186,71.9117137443088,-0.0245857319366809
group_host,AF+T,median,separate,2,2,518,108,64.06481481481481,74.49216961086134,-5.0058568525912506e-06
group_host,AF+T,median,separate,2,3,490,136,64.63970588235294,78.60872014193426,-0.07427044964806906
group_host,AF+T,median,separate,2,4,500,126,66.54761904761905,77.67826400231083,-0.04462863237825632
group_host,AF+T,median,separate,3,0,832,207,5.823671497584541,19.528778466811413,-0.04318597243202804
group_host,AF+T,median,separate,3,1,839,200,6.69,17.80505546186251,-0.08598283296205556
group_host,AF+T,median,separate,3,2,867,172,8.813953488372093,21.01024113517357,-0.10542368359216048
group_host,AF+T,median,separate,3,3,833,206,16.689320388349515,39.285116626395734,-0.16861157069977217
group_host,AF+T,median,separate,3,4,785,254,13.173228346456693,36.77495938536541,-0.03919210287576225
group_host,AF+T,xgboost,pooled,2,0,499,127,37.34791000246063,57.21499989879406,0.3796287466712971
group_host,AF+T,xgboost,pooled,2,1,497,129,32.65543950990189,48.8890714409259,0.5264426257428518
group_host,AF+T,xgboost,pooled,2,2,518,108,38.11969107168692,57.743682358351,0.3991170535382552
group_host,AF+T,xgboost,pooled,2,3,490,136,41.82276400397806,64.02702412902052,0.2873130397576181
group_host,AF+T,xgboost,pooled,2,4,500,126,43.76673307872954,65.44336606662598,0.2585290147359762
group_host,AF+T,xgboost,pooled,3,0,832,207,13.952606348599788,25.87913149905489,-0.8319388615313905
group_host,AF+T,xgboost,pooled,3,1,839,200,11.460536499023437,19.87939708458498,-0.353763235896579
group_host,AF+T,xgboost,pooled,3,2,867,172,11.40344273766806,22.194730779408236,-0.23357754210614523
group_host,AF+T,xgboost,pooled,3,3,833,206,17.224055021711923,30.82191070042056,0.28066166696573525
group_host,AF+T,xgboost,pooled,3,4,785,254,19.432799091489297,39.66095447692113,-0.20869787226947234
group_host,AF+T,xgboost,separate,2,0,499,127,37.79361562653789,56.471134732554006,0.39565505836060766
group_host,AF+T,xgboost,separate,2,1,497,129,29.514483311379603,53.217460834770556,0.43887796333988116
group_host,AF+T,xgboost,separate,2,2,518,108,32.758888527199076,48.75801244325722,0.5715768649970179
group_host,AF+T,xgboost,separate,2,3,490,136,37.204368591308594,54.30773626960831,0.48726191224306914
