row_id,Host,Reference,Eu valence,match_count,host_missing,host_values,reference_values,eu_valence_missing,eu_valence_values,eu_valence_invalid,status
117,Ba2Ca0.99P2O8,https://doi.org/10.1111/jace.12258,2.0,1,False,1,1,False,1,False,resolved
118,Ca7.137Sr1.8YP7O28,https://doi.org/10.1039/C1JM11018G,2.0,1,False,1,1,False,1,False,resolved
119,Ca2PO4Cl,https://doi.org/10.1039/B920610H,2.0,1,False,1,1,False,1,False,resolved
120,Ca7.587Sr1.35YP7O28,https://doi.org/10.1039/C1JM11018G,2.0,1,False,1,1,False,1,False,resolved
121,Ca5P3O12Cl,https://doi.org/10.1039/C5TC03482E,2.0,1,False,1,1,False,1,False,resolved
122,Ca5P3O12Cl,https://doi.org/10.1039/C5TC03482E,2.0,1,False,1,1,False,1,False,resolved
123,Ca5P3O12Cl,https://doi.org/10.1039/C5TC03482E,2.0,1,False,1,1,False,1,False,resolved
124,Ca5P3O12Cl,https://doi.org/10.1039/C5TC03482E,2.0,1,False,1,1,False,1,False,resolved
125,Ca5P3O12Cl,https://doi.org/10.1039/C5TC03482E,2.0,1,False,1,1,False,1,False,resolved
126,Ca5P3O12Cl,https://doi.org/10.1039/C5TC03482E,2.0,1,False,1,1,False,1,False,resolved
127,BaBeSiO4,https://doi.org/10.1364/OME.6.000416,2.0,1,False,1,1,False,1,False,resolved
128,BaBeSiO4,https://doi.org/10.1364/OME.6.000416,2.0,1,False,1,1,False,1,False,resolved
129,BaBeSiO4,https://doi.org/10.1364/OME.6.000416,2.0,1,False,1,1,False,1,False,resolved
130,BaBeSiO4,https://doi.org/10.1364/OME.6.000416,2.0,1,False,1,1,False,1,False,resolved
131,BaBeSiO4,https://doi.org/10.1364/OME.6.000416,2.0,1,False,1,1,False,1,False,resolved
132,BaBeSiO4,https://doi.org/10.1364/OME.6.000416,2.0,1,False,1,1,False,1,False,resolved
133,Ca9.9KP7O28,https://doi.org/10.1149/1.3121531,2.0,1,False,1,1,False,1,False,resolved
134,Ca9.6KP7O28,https://doi.org/10.1149/1.3121531,2.0,1,False,1,1,False,1,False,resolved
135,Ca9.5KP7O28,https://doi.org/10.1149/1.3121531,2.0,1,False,1,1,False,1,False,resolved
136,Ca9.2KP7O28,https://doi.org/10.1149/1.3121531,2.0,1,False,1,1,False,1,False,resolved
137,Ca8.9KP7O28,https://doi.org/10.1149/1.3121531,2.0,1,False,1,1,False,1,False,resolved
138,K2BaCaP2O8,https://doi.org/10.1021/jacs.8b06021,2.0,6,False,1,1,False,1,False,resolved
139,Ba2.99CaKP3O12,https://doi.org/10.1016/j.cej.2018.09.036,2.0,1,False,1,1,False,1,False,resolved
140,Ba2.99Ca0.95KP3O12,https://doi.org/10.1016/j.cej.2018.09.036,2.0,1,False,1,1,False,1,False,resolved
141,Ca3.94Si2O7F2,https://doi.org/10.1039/C2JM33160H,2.0,1,False,1,1,False,1,False,resolved
142,Ca3.92Si2O7F2,https://doi.org/10.1039/C2JM33160H,2.0,1,False,1,1,False,1,False,resolved
